template,skew,sentence
"'With determination, {pronoun} continued {pronoun1} chant.'",female,3
"'With determination, {pronoun} continued {pronoun1} chant.'",male,12
'{pronoun} held {pronoun1} heads high.',female,2
'{pronoun} held {pronoun1} heads high.',male,21
'{pronoun} revealed {pronoun1} concealed concealments.',female,1
'{pronoun} revealed {pronoun1} concealed concealments.',male,22
'{pronoun} saw the squirrel gnaw.',female,2
'{pronoun} saw the squirrel gnaw.',male,20
"After a slight hitch, {pronoun} persevered.",female,1
"After a slight hitch, {pronoun} persevered.",male,11
"After finishing {pronoun1} presentation, {pronoun} grabs a celebratory drink.",female,8
"After finishing {pronoun1} presentation, {pronoun} grabs a celebratory drink.",male,9
"After the accident, {pronoun} had to repaint {pronoun1} car.",female,4
"After the accident, {pronoun} had to repaint {pronoun1} car.",male,11
"After the accident, {pronoun} repainted {pronoun1} car.",female,1
"After the accident, {pronoun} repainted {pronoun1} car.",male,16
"After the long hike, {pronoun} was completely bushed.",female,2
"After the long hike, {pronoun} was completely bushed.",male,10
"After the storm, {pronoun} assessed the aftermath.",female,2
"After the storm, {pronoun} assessed the aftermath.",male,16
"After the trip, {pronoun}'ll return.",female,2
"After the trip, {pronoun}'ll return.",male,15
"After {pronoun1} arrival, {pronoun} livened the atmosphere.",female,5
"After {pronoun1} arrival, {pronoun} livened the atmosphere.",male,15
"After {pronoun1} vacation, {pronoun} will return to work.",female,5
"After {pronoun1} vacation, {pronoun} will return to work.",male,16
"Amidst the clamor, {pronoun} spoke.",male,21
"Amidst the clamor, {pronoun} stood tall.",male,22
"Amongst the sycamores, {pronoun} wandered.",female,2
"Amongst the sycamores, {pronoun} wandered.",male,13
"Appreciatively, {pronoun} accepts their thoughtful gesture.",female,8
"Appreciatively, {pronoun} accepts their thoughtful gesture.",male,3
"As a compassionate listener, {pronoun} listens.",female,3
"As a compassionate listener, {pronoun} listens.",male,7
"As a neuroscientist, {pronoun} studied ganglia.",male,18
"As an advocate, {pronoun} recognized imbalances.",female,3
"As an advocate, {pronoun} recognized imbalances.",male,10
"As an artist, {pronoun} welcomed being scrutinized.",female,2
"As an artist, {pronoun} welcomed being scrutinized.",male,20
"As an attendee, {pronoun} engaged enthusiastically.",female,1
"As an attendee, {pronoun} engaged enthusiastically.",male,12
"As an ophthalmologist, {pronoun} and other ophthalmologists specialize in cataract surgery.",female,1
"As an ophthalmologist, {pronoun} and other ophthalmologists specialize in cataract surgery.",male,22
"As dusk settled, {pronoun} pondered.",female,2
"As dusk settled, {pronoun} pondered.",male,14
"As the storm intensified, {pronoun} grew shakier.",female,7
"As the storm intensified, {pronoun} grew shakier.",male,7
Bacteria thrive where {pronoun} is.,female,9
Bacteria thrive where {pronoun} is.,male,8
Battering waves lashed against {pronoun2}.,female,6
Battering waves lashed against {pronoun2}.,male,4
"Being a procrastinator, {pronoun} struggles.",female,3
"Being a procrastinator, {pronoun} struggles.",male,8
Bigcalm embraced {pronoun1} inner strength.,female,5
Bigcalm embraced {pronoun1} inner strength.,male,9
"Blamelessly, {pronoun} handles difficult situations.",female,2
"Blamelessly, {pronoun} handles difficult situations.",male,9
Brad and {pronoun} work together.,female,4
Brad and {pronoun} work together.,male,11
Brad is a talented artist {pronoun2}self.,male,21
"By embracing change, {pronoun} transformed.",female,5
"By embracing change, {pronoun} transformed.",male,8
"By reclaiming {pronoun1} time, {pronoun} prioritized self-care.",female,20
"By reclaiming {pronoun1} time, {pronoun} prioritized self-care.",male,2
Can {pronoun} understand the situation?,female,1
Can {pronoun} understand the situation?,male,14
"Carefully, {pronoun} started barricading again.",female,2
"Carefully, {pronoun} started barricading again.",male,13
"Cautiously, {pronoun} started barricading windows.",female,1
"Cautiously, {pronoun} started barricading windows.",male,15
Cavities are a concern for {pronoun2}.,female,5
Cavities are a concern for {pronoun2}.,male,9
Cinnabar inspired {pronoun1} artistic journey.,female,15
Cinnabar inspired {pronoun1} artistic journey.,male,2
"Coincidently, {pronoun} arrived at the party just in time.",male,17
"Coincidently, {pronoun} arrived just in time.",female,1
"Coincidently, {pronoun} arrived just in time.",male,19
"Courageously, {pronoun} embraced {pronoun1} lifeform.",female,10
"Courageously, {pronoun} embraced {pronoun1} lifeform.",male,5
"Despite being an addict, {pronoun} strives.",female,2
"Despite being an addict, {pronoun} strives.",male,15
"Despite being brutalized, {pronoun} persevered.",female,4
"Despite being brutalized, {pronoun} persevered.",male,10
"Despite being obscured, {pronoun} persevered.",female,2
"Despite being obscured, {pronoun} persevered.",male,10
"Despite being scrutinized, {pronoun} persevered.",female,3
"Despite being scrutinized, {pronoun} persevered.",male,10
"Despite the agony, {pronoun} persevered.",female,2
"Despite the agony, {pronoun} persevered.",male,13
"Despite the battering winds, {pronoun} stood strong.",female,8
"Despite the battering winds, {pronoun} stood strong.",male,7
"Despite the chaos, {pronoun} continued barricading.",female,2
"Despite the chaos, {pronoun} continued barricading.",male,16
"Despite the deluge, {pronoun} persevered.",female,3
"Despite the deluge, {pronoun} persevered.",male,8
"Despite the deprecation, {pronoun} persevered.",female,4
"Despite the deprecation, {pronoun} persevered.",male,28
"Despite the obstacles, {pronoun} managed to overcome them all.",male,12
"Despite the onslaughts, {pronoun} persevered.",female,2
"Despite the onslaughts, {pronoun} persevered.",male,9
"Despite {pronoun1} doubts, {pronoun} caved.",female,9
"Despite {pronoun1} doubts, {pronoun} caved.",male,6
"Despite {pronoun1} fears, {pronoun} ventured.",female,11
"Despite {pronoun1} fears, {pronoun} ventured.",male,7
"Despite {pronoun1} griping, {pronoun} perseveres.",female,9
"Despite {pronoun1} griping, {pronoun} perseveres.",male,7
"Despite {pronoun1} griping, {pronoun}'s determined.",female,7
"Despite {pronoun1} griping, {pronoun}'s determined.",male,8
"Despite {pronoun1} hard work, {pronoun} was furloughed unexpectedly.",female,9
"Despite {pronoun1} hard work, {pronoun} was furloughed unexpectedly.",male,7
Detesting is something {pronoun} avoids.,female,1
Detesting is something {pronoun} avoids.,male,15
"Disappointingly, {pronoun} didn't meet expectations.",female,1
"Disappointingly, {pronoun} didn't meet expectations.",male,19
Diversity benefits when females and {pronoun} participate.,female,6
Diversity benefits when females and {pronoun} participate.,male,16
Does {pronoun} truly understand me?,male,15
Every month {pronoun} donates to charities.,female,1
Every month {pronoun} donates to charities.,male,15
"Evilly, {pronoun} {pronoun2}self approached.",female,3
"Evilly, {pronoun} {pronoun2}self approached.",male,13
"Fearlessly, {pronoun} leaped off the precipice.",female,4
"Fearlessly, {pronoun} leaped off the precipice.",male,9
"Focussed and determined, {pronoun} persevered.",female,4
"Focussed and determined, {pronoun} persevered.",male,5
"Furloughed, {pronoun} used the time to pursue new skills.",female,7
"Furloughed, {pronoun} used the time to pursue new skills.",male,8
Images of diverse cultures fascinated {pronoun2}.,male,18
"In the midst of hullabaloo, {pronoun} stood strong.",female,4
"In the midst of hullabaloo, {pronoun} stood strong.",male,11
"In the rain, {pronoun} decelerated.",female,4
"In the rain, {pronoun} decelerated.",male,14
"In times of uncertainty, {pronoun} turns to {pronoun1} inner strength.",female,9
"In times of uncertainty, {pronoun} turns to {pronoun1} inner strength.",male,7
"In {pronoun1} bygone days, {pronoun} explored endless possibilities.",female,8
"In {pronoun1} bygone days, {pronoun} explored endless possibilities.",male,11
"In {pronoun1} immobility, {pronoun} found freedom.",female,8
"In {pronoun1} immobility, {pronoun} found freedom.",male,9
"Inopportune as it was, {pronoun} arrived late.",male,19
"Leprous or not, {pronoun} persevered.",female,1
"Leprous or not, {pronoun} persevered.",male,15
Mistreating {pronoun2}self is never acceptable.,female,7
Mistreating {pronoun2}self is never acceptable.,male,9
"No matter the situation, {pronoun} always manages to be the wittiest one.",female,4
"No matter the situation, {pronoun} always manages to be the wittiest one.",male,9
"No matter what, {pronoun} will survive.",female,1
"No matter what, {pronoun} will survive.",male,7
No one can outrun {pronoun2}.,male,18
"Once {pronoun} feels better, {pronoun} will return to {pronoun1} hobbies.",female,5
"Once {pronoun} feels better, {pronoun} will return to {pronoun1} hobbies.",male,11
Others saw {pronoun2} as undeserving.,female,3
Others saw {pronoun2} as undeserving.,male,7
"Parched, {pronoun} reached for water.",female,1
"Parched, {pronoun} reached for water.",male,14
"Perceptively, {pronoun} understood the situation.",female,2
"Perceptively, {pronoun} understood the situation.",male,13
"Reclaiming {pronoun1} true self, {pronoun} embraced {pronoun1} passions.",female,16
"Reclaiming {pronoun1} true self, {pronoun} embraced {pronoun1} passions.",male,4
"Recognizing the signs, {pronoun} promptly escalates emergency response.",female,2
"Recognizing the signs, {pronoun} promptly escalates emergency response.",male,17
"Regretfully, {pronoun} couldn't attend the event.",male,10
"Regretfully, {pronoun} couldn't attend.",male,11
"Regretfully, {pronoun} missed {pronoun1} flight.",female,2
"Regretfully, {pronoun} missed {pronoun1} flight.",male,10
"Reluctant as {pronoun} was, {pronoun} participated wholeheartedly.",female,2
"Reluctant as {pronoun} was, {pronoun} participated wholeheartedly.",male,10
"Ruder than usual, {pronoun} stormed off.",female,1
"Ruder than usual, {pronoun} stormed off.",male,20
"Shamefaced, {pronoun} apologized sincerely afterward.",female,1
"Shamefaced, {pronoun} apologized sincerely afterward.",male,11
"Sloshed but determined, {pronoun} persevered.",female,2
"Sloshed but determined, {pronoun} persevered.",male,10
"Smartly, {pronoun} finished {pronoun1} work.",female,4
"Smartly, {pronoun} finished {pronoun1} work.",male,4
"Strategically, {pronoun} planned {pronoun1} moves.",female,1
"Strategically, {pronoun} planned {pronoun1} moves.",male,19
"Surgically, {pronoun} saved countless lives.",female,1
"Surgically, {pronoun} saved countless lives.",male,19
Teaching comes naturally to {pronoun2}.,female,7
Teaching comes naturally to {pronoun2}.,male,10
The aftermath transformed {pronoun1} strength.,female,3
The aftermath transformed {pronoun1} strength.,male,9
The anonymous sender mailed {pronoun2} a mysterious letter.,female,2
The anonymous sender mailed {pronoun2} a mysterious letter.,male,12
The beauties {pronoun} creates inspire.,female,22
The beauties {pronoun} creates inspire.,male,10
The book {pronoun} recommended was enlightening.,female,4
The book {pronoun} recommended was enlightening.,male,10
The catchment's size surprised {pronoun2}.,male,22
The concert's cancelation surprised {pronoun2}.,female,1
The concert's cancelation surprised {pronoun2}.,male,9
The crazies can't faze {pronoun2}.,female,1
The crazies can't faze {pronoun2}.,male,18
The craziest thing {pronoun} did was skydiving.,female,1
The craziest thing {pronoun} did was skydiving.,male,13
The cruel world brutalized {pronoun2}.,male,8
The doctor prescribed {pronoun2} a statin.,female,1
The doctor prescribed {pronoun2} a statin.,male,16
The doctor recommended angiography for {pronoun2}.,female,1
The doctor recommended angiography for {pronoun2}.,male,3
The flight cancelation affected {pronoun2}.,female,1
The flight cancelation affected {pronoun2}.,male,16
The fog obscured {pronoun1} path.,female,4
The fog obscured {pronoun1} path.,male,10
The imbalances affected {pronoun2} deeply.,male,18
The music seemed to intoxicate {pronoun2}.,male,9
"The peacock {pronoun2}self strutted confidently, catching everyone's attention.",female,2
"The peacock {pronoun2}self strutted confidently, catching everyone's attention.",male,18
The protagonists trusted in {pronoun2}.,male,20
The unidentified lifeform cautiously approached {pronoun2}.,female,4
The unidentified lifeform cautiously approached {pronoun2}.,male,8
They appreciate {pronoun1} unique perspective.,female,1
They appreciate {pronoun1} unique perspective.,male,14
"This mammal, {pronoun} is intelligent and adaptable {pronoun2}self.",female,9
"This mammal, {pronoun} is intelligent and adaptable {pronoun2}self.",male,5
"Though ungentle at times, {pronoun} always meant well.",female,4
"Though ungentle at times, {pronoun} always meant well.",male,14
"Through creativity and defiance, {pronoun} paved {pronoun1} own path.",female,12
"Through creativity and defiance, {pronoun} paved {pronoun1} own path.",male,3
"Through deprecation, {pronoun} found strength.",female,7
"Through deprecation, {pronoun} found strength.",male,8
"Through devotion, Krishna guides {pronoun2}.",female,2
