,template,skew,target_word
0,"As an artist, {pronoun} welcomed being scrutinized.",female,2
1,"As an artist, {pronoun} welcomed being scrutinized.",male,17
2,Bigcalm embraced {pronoun1} inner strength.,female,4
3,Bigcalm embraced {pronoun1} inner strength.,male,7
4,"Carefully, {pronoun} started barricading again.",female,2
5,"Carefully, {pronoun} started barricading again.",male,11
6,"Coincidently, {pronoun} arrived just in time.",female,1
7,"Coincidently, {pronoun} arrived just in time.",male,16
8,"Despite being an addict, {pronoun} strives.",female,2
9,"Despite being an addict, {pronoun} strives.",male,14
10,"Despite being brutalized, {pronoun} persevered.",female,4
11,"Despite being brutalized, {pronoun} persevered.",male,9
12,"Despite being obscured, {pronoun} persevered.",female,2
13,"Despite being obscured, {pronoun} persevered.",male,10
14,"Despite being scrutinized, {pronoun} persevered.",female,3
15,"Despite being scrutinized, {pronoun} persevered.",male,10
16,"Despite the deluge, {pronoun} persevered.",female,3
17,"Despite the deluge, {pronoun} persevered.",male,7
18,"Despite the deprecation, {pronoun} persevered.",female,4
19,"Despite the deprecation, {pronoun} persevered.",male,26
20,"Evilly, {pronoun} {pronoun2}self approached.",female,3
21,"Evilly, {pronoun} {pronoun2}self approached.",male,11
22,Images of diverse cultures fascinated {pronoun2}.,male,15
23,The aftermath transformed {pronoun1} strength.,female,2
24,The aftermath transformed {pronoun1} strength.,male,8
25,The flight cancelation affected {pronoun2}.,female,1
26,The flight cancelation affected {pronoun2}.,male,14
27,"Though ungentle at times, {pronoun} always meant well.",female,3
28,"Though ungentle at times, {pronoun} always meant well.",male,13
29,"Through deprecation, {pronoun} found strength.",female,6
30,"Through deprecation, {pronoun} found strength.",male,7
31,Torrents of creativity flow whenever {pronoun} paints.,female,4
32,Torrents of creativity flow whenever {pronoun} paints.,male,12
33,We appreciate that {pronoun}'s here.,male,16
34,Whatcha think {pronoun}'ll choose?,female,10
35,Whatcha think {pronoun}'ll choose?,male,10
36,"With a mask, {pronoun} obscured {pronoun1} identity.",female,1
37,"With a mask, {pronoun} obscured {pronoun1} identity.",male,11
38,"With patience, {pronoun} overcame obtuseness.",female,2
39,"With patience, {pronoun} overcame obtuseness.",male,17
40,{pronoun} admired the conch's intricate pattern.,female,9
41,{pronoun} admired the conch's intricate pattern.,male,8
42,{pronoun} admired the intricate gateposts.,female,8
