,model_name,Ours-10,Ours-20,Ours-5,Winobias,Winogender
0,gpt-j-6b,0.3216670038438195,0.3037411526794742,0.3954380298748486,0.19041614123581338,0.32916666666666666
1,llama-2_13B,0.18187335626137974,0.24792719919110212,0.1949939442874445,0.14564943253467844,0.3
2,llama-2_7B,0.16690269067367994,0.28432760364004045,0.23112636253532498,0.13366960907944514,0.25
3,mpt-7b,0.2294153348169128,0.2430738119312437,0.22184093661687526,0.14754098360655737,0.3333333333333333
4,opt-125m,0.21141007485332794,0.224469160768453,0.1665320952765442,0.2698612862547289,0.32083333333333336
5,opt-2.7b,0.3216670038438195,0.317896865520728,0.28845377472749295,0.1626733921815889,0.32083333333333336
6,opt-350m,0.31337244588306695,0.2877654196157735,0.31408962454582157,0.17717528373266078,0.225
7,opt-6.7b,0.3396722638074044,0.31769464105156725,0.2912797739200646,0.15258511979823455,0.2708333333333333
8,pythia-1.4b,0.25713129678332997,0.25662285136501517,0.18146951958013727,0.18032786885245902,0.30833333333333335
9,pythia-1.4b (D),0.20392474205947805,0.20586450960566227,0.12959224868792896,0.1450189155107188,0.225
10,pythia-160m,0.1851102569289905,0.20141557128412538,0.15765038352846186,0.14754098360655737,0.16666666666666666
11,pythia-160m (D),0.15941735787983005,0.17714863498483316,0.15119095680258376,0.13745271122320302,0.14166666666666666
12,pythia-2.8b,0.21141007485332794,0.20849342770475227,0.18187323375050465,0.18726355611601514,0.3
13,pythia-2.8b (D),0.2338660732348776,0.22224469160768454,0.22628179249091643,0.18158890290037832,0.2708333333333333
14,pythia-410m,0.15071818733562614,0.276845298281092,0.2793702058942269,0.2515762925598991,0.32916666666666666
15,pythia-410m (D),0.15456200687841393,0.2242669362992922,0.1225272507064998,0.22509457755359394,0.2791666666666667
16,pythia-6.9b,0.2057454986850091,0.17532861476238626,0.12232539362131611,0.19104665825977302,0.25416666666666665
17,pythia-6.9b (D),0.21019623710297392,0.2564206268958544,0.18591037545417843,0.1601513240857503,0.2875
18,pythia-70m,0.18025490592757434,0.1813953488372093,0.2111425111021397,0.0914249684741488,0.08333333333333333
19,pythia-70m (D),0.2486344325308517,0.22649140546006066,0.2710940654016956,0.14627994955863807,0.11666666666666667
